antiguedad,plan,metodo_pago,tipo_contrato,frecuencia_uso,cambios_plan,facturas_impagas,tickets_soporte,canal_adquisicion,friccion_del_servicio,engagement_score,valor_plan_num,ratio_valor_uso,riesgo_financiero,cliente_problematico,early_churn_risk,premium_mensual,churn
58,estandar,tarjeta_debito,mensual,6,3,3,5,referido,0.7142857142857143,0.345,9.99,1.4271428571428573,29.97,0,0,0,1
33,premium,efectivo,mensual,15,0,1,4,referido,0.25,0.5825,14.99,0.936875,14.99,0,0,1,0
32,estandar,efectivo,anual,7,1,2,2,referido,0.25,0.41333333333333333,9.99,1.24875,19.98,0,0,0,0
57,basico,tarjeta_credito,anual,5,3,2,8,web,1.3333333333333333,0.32916666666666666,4.99,0.8316666666666667,9.98,1,0,0,0
44,premium,tarjeta_credito,anual,17,2,1,7,redes_sociales,0.3888888888888889,0.5166666666666666,14.99,0.8327777777777778,14.99,0,0,0,0
60,estandar,tarjeta_debito,anual,11,3,1,7,call_center,0.5833333333333334,0.41666666666666663,9.99,0.8325,9.99,0,0,0,1
54,estandar,transferencia_bancaria,anual,16,0,0,5,redes_sociales,0.29411764705882354,0.6483333333333334,9.99,0.5876470588235294,0.0,0,0,0,0
23,basico,tarjeta_credito,mensual,15,0,1,4,redes_sociales,0.25,0.5575,4.99,0.311875,4.99,0,0,0,0
56,premium,tarjeta_debito,anual,11,1,1,1,referido,0.08333333333333333,0.5266666666666666,14.99,1.2491666666666668,14.99,0,0,0,0
1,premium,tarjeta_debito,mensual,27,1,2,8,redes_sociales,0.2857142857142857,0.6025,14.99,0.5353571428571429,29.98,0,1,1,1
16,basico,transferencia_bancaria,mensual,15,1,1,10,call_center,0.625,0.48,4.99,0.311875,4.99,0,0,0,0
56,estandar,transferencia_bancaria,mensual,18,2,2,1,redes_sociales,0.05263157894736842,0.56,9.99,0.5257894736842106,19.98,0,0,0,1
37,estandar,transferencia_bancaria,anual,15,3,3,1,call_center,0.0625,0.4125,9.99,0.624375,29.97,0,0,0,0
2,estandar,tarjeta_debito,mensual,7,2,3,2,referido,0.25,0.2783333333333333,9.99,1.24875,29.97,0,1,0,0
16,premium,efectivo,mensual,8,3,3,10,call_center,1.1111111111111112,0.26666666666666666,14.99,1.6655555555555557,44.97,1,0,1,1
56,basico,tarjeta_credito,anual,21,0,3,5,call_center,0.22727272727272727,0.72,4.99,0.22681818181818184,14.97,0,0,0,0
10,basico,tarjeta_credito,mensual,24,3,1,4,call_center,0.16,0.4650000000000001,4.99,0.1996,4.99,0,0,0,0
2,premium,transferencia_bancaria,mensual,28,1,2,9,redes_sociales,0.3103448275862069,0.6183333333333334,14.99,0.516896551724138,29.98,0,1,1,0
17,estandar,tarjeta_debito,mensual,24,2,0,8,web,0.32,0.5425,9.99,0.3996,0.0,0,0,0,0
50,basico,efectivo,mensual,10,2,2,6,redes_sociales,0.5454545454545454,0.4383333333333333,4.99,0.45363636363636367,9.98,0,0,0,0
26,basico,tarjeta_debito,anual,6,1,1,1,web,0.14285714285714285,0.385,4.99,0.7128571428571429,4.99,0,0,0,0
7,estandar,transferencia_bancaria,mensual,16,1,2,4,redes_sociales,0.23529411764705882,0.4708333333333333,9.99,0.5876470588235294,19.98,0,0,0,0
21,estandar,efectivo,anual,4,1,3,2,call_center,0.4,0.3458333333333333,9.99,1.998,29.97,0,0,0,1
4,estandar,efectivo,mensual,8,3,2,5,web,0.5555555555555556,0.23666666666666666,9.99,1.11,19.98,0,1,0,1
120,estandar,tarjeta_credito,mensual,17,1,3,1,web,0.05555555555555555,0.7666666666666666,9.99,0.555,29.97,0,0,0,0
12,estandar,efectivo,mensual,8,0,2,2,web,0.2222222222222222,0.43666666666666665,9.99,1.11,19.98,0,0,0,1
60,estandar,tarjeta_debito,mensual,28,0,1,8,call_center,0.27586206896551724,0.8233333333333333,9.99,0.34448275862068967,9.99,0,0,0,0
13,estandar,tarjeta_credito,anual,6,0,1,3,referido,0.42857142857142855,0.4125,9.99,1.4271428571428573,9.99,0,0,0,1
2,estandar,tarjeta_credito,anual,11,3,2,0,call_center,0.0,0.27166666666666667,9.99,0.8325,19.98,0,1,0,0
4,basico,transferencia_bancaria,mensual,26,0,3,4,call_center,0.14814814814814814,0.6566666666666667,4.99,0.18481481481481482,14.97,0,1,0,0
26,basico,transferencia_bancaria,anual,4,0,3,3,web,0.6,0.41833333333333333,4.99,0.998,14.97,0,0,0,0
24,basico,transferencia_bancaria,mensual,28,0,2,0,redes_sociales,0.0,0.7333333333333334,4.99,0.17206896551724138,9.98,0,0,0,0
25,premium,transferencia_bancaria,mensual,24,3,2,5,referido,0.2,0.5025000000000001,14.99,0.5996,29.98,0,0,1,1
2,basico,tarjeta_debito,anual,2,2,2,6,redes_sociales,2.0,0.21166666666666667,4.99,1.6633333333333333,9.98,1,1,0,1
30,basico,efectivo,mensual,15,3,2,6,redes_sociales,0.375,0.395,4.99,0.311875,9.98,0,0,0,1
47,premium,efectivo,mensual,6,2,3,10,redes_sociales,1.4285714285714286,0.3775,14.99,2.1414285714285715,44.97,1,0,1,0
19,basico,tarjeta_debito,mensual,4,1,2,0,web,0.0,0.3408333333333333,4.99,0.998,9.98,0,0,0,0
40,estandar,tarjeta_debito,mensual,27,1,0,0,web,0.0,0.7,9.99,0.3567857142857143,0.0,0,0,0,0
41,estandar,efectivo,anual,4,1,3,9,referido,1.8,0.3958333333333333,9.99,1.998,29.97,1,0,0,0
3,basico,tarjeta_debito,anual,26,0,2,5,call_center,0.18518518518518517,0.6541666666666667,4.99,0.18481481481481482,9.98,0,1,0,0
35,basico,tarjeta_debito,mensual,6,1,2,5,call_center,0.7142857142857143,0.40750000000000003,4.99,0.7128571428571429,9.98,0,0,0,1
57,basico,tarjeta_credito,mensual,4,3,1,5,web,1.0,0.3158333333333333,4.99,0.998,4.99,0,0,0,0
57,basico,transferencia_bancaria,mensual,15,2,2,6,call_center,0.375,0.5225,4.99,0.311875,9.98,0,0,0,0
57,estandar,transferencia_bancaria,mensual,17,2,2,5,call_center,0.2777777777777778,0.5491666666666666,9.99,0.555,19.98,0,0,0,1
55,estandar,tarjeta_debito,mensual,16,1,2,0,web,0.0,0.5908333333333333,9.99,0.5876470588235294,19.98,0,0,0,0
10,estandar,transferencia_bancaria,mensual,27,0,2,10,call_center,0.35714285714285715,0.685,9.99,0.3567857142857143,19.98,0,0,0,1
22,premium,tarjeta_debito,mensual,3,2,3,1,redes_sociales,0.25,0.275,14.99,3.7475,44.97,0,0,1,0
15,estandar,tarjeta_credito,mensual,15,2,2,10,referido,0.625,0.4175,9.99,0.624375,19.98,0,0,0,0
46,estandar,tarjeta_credito,mensual,1,1,2,9,referido,4.5,0.3683333333333333,9.99,4.995,19.98,1,0,0,0
49,estandar,tarjeta_debito,mensual,9,0,1,7,redes_sociales,0.7,0.5425,9.99,0.999,9.99,1,0,0,0
32,basico,efectivo,mensual,0,2,0,3,redes_sociales,3.0,0.26,4.99,4.99,0.0,0,0,0,0
27,basico,tarjeta_debito,anual,16,1,2,3,call_center,0.17647058823529413,0.5208333333333334,4.99,0.29352941176470587,9.98,0,0,0,0
31,basico,efectivo,mensual,15,3,1,3,redes_sociales,0.1875,0.3975,4.99,0.311875,4.99,0,0,0,1
4,estandar,efectivo,mensual,22,1,2,4,call_center,0.17391304347826086,0.5433333333333333,9.99,0.43434782608695655,19.98,0,1,0,1
9,premium,tarjeta_debito,mensual,18,3,3,7,call_center,0.3684210526315789,0.3825,14.99,0.7889473684210526,44.97,0,0,1,1
17,premium,transferencia_bancaria,mensual,15,0,2,9,referido,0.5625,0.5425,14.99,0.936875,29.98,0,0,1,0
42,premium,efectivo,mensual,22,2,0,6,call_center,0.2608695652173913,0.5783333333333334,14.99,0.6517391304347826,0.0,0,0,1,0
10,basico,tarjeta_debito,mensual,8,2,3,42,call_center,4.666666666666667,0.31166666666666665,4.99,0.5544444444444445,14.97,1,0,0,0
3,premium,tarjeta_debito,anual,2,0,2,9,referido,3.0,0.33416666666666667,14.99,4.996666666666667,29.98,1,1,0,0
55,estandar,tarjeta_credito,anual,2,1,3,0,call_center,0.0,0.4041666666666667,9.99,3.33,29.97,0,0,0,0
10,estandar,tarjeta_debito,anual,8,3,2,4,call_center,0.4444444444444444,0.2516666666666667,9.99,1.11,19.98,0,0,0,0
49,basico,tarjeta_debito,anual,15,1,1,10,redes_sociales,0.625,0.5625,4.99,0.311875,4.99,0,0,0,0
47,estandar,tarjeta_debito,mensual,7,0,3,7,referido,0.875,0.5108333333333333,9.99,1.24875,29.97,1,0,0,1
26,estandar,transferencia_bancaria,mensual,22,3,0,10,referido,0.43478260869565216,0.47833333333333333,9.99,0.43434782608695655,0.0,0,0,0,0
46,basico,transferencia_bancaria,mensual,15,2,0,10,redes_sociales,0.625,0.495,4.99,0.311875,0.0,0,0,0,0
2,basico,efectivo,anual,13,2,0,8,call_center,0.5714285714285714,0.35833333333333334,4.99,0.35642857142857143,0.0,0,0,0,0
31,premium,transferencia_bancaria,anual,30,2,0,0,call_center,0.0,0.6575,14.99,0.4835483870967742,0.0,0,0,0,0
48,estandar,tarjeta_debito,mensual,21,2,1,0,web,0.0,0.58,9.99,0.4540909090909091,9.99,0,0,0,0
23,estandar,tarjeta_debito,mensual,29,0,1,1,referido,0.03333333333333333,0.7441666666666666,9.99,0.333,9.99,0,0,0,0
44,estandar,transferencia_bancaria,mensual,15,0,2,2,redes_sociales,0.125,0.61,9.99,0.624375,19.98,0,0,0,0
10,premium,tarjeta_credito,mensual,27,1,3,8,web,0.2857142857142857,0.625,14.99,0.5353571428571429,44.97,0,0,1,0
12,basico,efectivo,mensual,15,2,3,6,referido,0.375,0.41000000000000003,4.99,0.311875,14.97,0,0,0,1
53,basico,transferencia_bancaria,anual,9,1,2,0,call_center,0.0,0.49249999999999994,4.99,0.499,9.98,0,0,0,0
48,basico,tarjeta_debito,mensual,6,2,0,4,referido,0.5714285714285714,0.38,4.99,0.7128571428571429,0.0,0,0,0,0
25,basico,transferencia_bancaria,mensual,3,1,1,44,referido,11.0,0.3425,4.99,1.2475,4.99,1,0,0,0
37,estandar,efectivo,mensual,24,0,2,10,referido,0.4,0.7125000000000001,9.99,0.3996,19.98,0,0,0,0
36,premium,tarjeta_credito,mensual,30,2,1,2,redes_sociales,0.06451612903225806,0.6699999999999999,14.99,0.4835483870967742,14.99,0,0,1,0
28,premium,tarjeta_debito,mensual,13,3,3,7,referido,0.5,0.36333333333333334,14.99,1.0707142857142857,44.97,0,0,1,0
40,basico,tarjeta_debito,mensual,1,2,2,10,call_center,5.0,0.29333333333333333,4.99,2.495,9.98,1,0,0,1
37,estandar,tarjeta_credito,anual,15,1,3,6,call_center,0.375,0.5325,9.99,0.624375,29.97,0,0,0,0
42,premium,transferencia_bancaria,mensual,25,0,2,5,web,0.19230769230769232,0.7383333333333333,14.99,0.5765384615384616,29.98,0,0,1,0
9,estandar,tarjeta_debito,anual,11,2,3,2,web,0.16666666666666666,0.3491666666666666,9.99,0.8325,29.97,0,0,0,0
28,estandar,efectivo,mensual,3,3,1,0,redes_sociales,0.0,0.22999999999999998,9.99,2.4975,9.99,0,0,0,1
38,estandar,transferencia_bancaria,anual,15,1,2,4,referido,0.25,0.5349999999999999,9.99,0.624375,19.98,0,0,0,0
32,estandar,efectivo,mensual,15,0,0,3,referido,0.1875,0.5800000000000001,9.99,0.624375,0.0,0,0,0,0
54,premium,tarjeta_debito,mensual,21,0,3,10,web,0.45454545454545453,0.715,14.99,0.6813636363636364,44.97,0,0,1,0
17,premium,transferencia_bancaria,mensual,3,0,1,5,web,1.25,0.3825,14.99,3.7475,14.99,0,0,1,0
40,basico,tarjeta_debito,mensual,1,3,2,3,call_center,1.5,0.23333333333333334,4.99,2.495,9.98,0,0,0,1
49,premium,tarjeta_debito,mensual,11,0,2,2,referido,0.16666666666666666,0.5691666666666666,14.99,1.2491666666666668,29.98,0,0,1,0
55,premium,tarjeta_debito,mensual,2,0,3,3,web,1.0,0.4641666666666666,14.99,4.996666666666667,44.97,0,0,1,1
34,premium,efectivo,anual,15,1,3,2,call_center,0.125,0.525,14.99,0.936875,44.97,0,0,0,1
13,estandar,transferencia_bancaria,mensual,30,1,3,3,redes_sociales,0.0967741935483871,0.6725,9.99,0.32225806451612904,29.97,0,0,0,0
30,basico,tarjeta_debito,anual,5,2,2,0,web,0.0,0.32166666666666666,4.99,0.8316666666666667,9.98,0,0,0,0
120,estandar,transferencia_bancaria,mensual,4,2,0,3,call_center,0.6,0.5333333333333333,9.99,1.998,0.0,0,0,0,1
2,estandar,tarjeta_credito,anual,12,2,2,7,call_center,0.5384615384615384,0.34500000000000003,9.99,0.7684615384615385,19.98,0,1,0,1
40,premium,transferencia_bancaria,anual,14,2,1,10,referido,0.6666666666666666,0.4666666666666667,14.99,0.9993333333333333,14.99,0,0,0,0
14,estandar,tarjeta_debito,anual,6,0,0,1,referido,0.14285714285714285,0.41500000000000004,9.99,1.4271428571428573,0.0,0,0,0,0
38,estandar,tarjeta_debito,mensual,15,2,0,8,redes_sociales,0.5,0.475,9.99,0.624375,0.0,0,0,0,0
12,estandar,transferencia_bancaria,mensual,15,0,2,5,web,0.3125,0.53,9.99,0.624375,19.98,0,0,0,0
21,estandar,tarjeta_credito,mensual,0,1,3,6,referido,6.0,0.2925,9.99,9.99,29.97,1,0,0,1
33,estandar,tarjeta_credito,anual,11,1,2,4,call_center,0.3333333333333333,0.4691666666666667,9.99,0.8325,19.98,0,0,0,0
2,estandar,tarjeta_debito,mensual,17,3,3,4,referido,0.2222222222222222,0.3516666666666667,9.99,0.555,29.97,0,1,0,0
6,premium,transferencia_bancaria,mensual,1,2,2,9,call_center,4.5,0.20833333333333331,14.99,7.495,29.98,1,0,1,0
14,estandar,tarjeta_debito,anual,19,3,0,6,web,0.3,0.4083333333333333,9.99,0.4995,0.0,0,0,0,0
3,estandar,tarjeta_debito,mensual,22,0,1,1,web,0.043478260869565216,0.6008333333333333,9.99,0.43434782608695655,9.99,0,1,0,0
24,basico,transferencia_bancaria,mensual,21,2,0,5,call_center,0.22727272727272727,0.52,4.99,0.22681818181818184,0.0,0,0,0,1
46,basico,tarjeta_credito,mensual,5,1,1,0,call_center,0.0,0.42166666666666663,4.99,0.8316666666666667,4.99,0,0,0,0
10,estandar,efectivo,anual,29,0,0,38,web,1.2666666666666666,0.7116666666666667,9.99,0.333,0.0,0,0,0,0
22,premium,tarjeta_credito,mensual,11,1,0,5,redes_sociales,0.4166666666666667,0.44166666666666665,14.99,1.2491666666666668,0.0,0,0,1,0
13,basico,transferencia_bancaria,mensual,15,3,1,10,referido,0.625,0.35250000000000004,4.99,0.311875,4.99,0,0,0,1
3,basico,tarjeta_debito,mensual,15,0,0,6,call_center,0.375,0.5075000000000001,4.99,0.311875,0.0,0,0,0,0
24,basico,transferencia_bancaria,mensual,6,0,2,4,referido,0.5714285714285714,0.44,4.99,0.7128571428571429,9.98,0,0,0,0
37,estandar,transferencia_bancaria,mensual,15,3,2,9,call_center,0.5625,0.4125,9.99,0.624375,19.98,0,0,0,1
18,estandar,efectivo,anual,20,1,3,4,redes_sociales,0.19047619047619047,0.5516666666666666,9.99,0.4757142857142857,29.97,0,0,0,0
42,basico,tarjeta_debito,anual,15,3,2,4,web,0.25,0.425,4.99,0.311875,9.98,0,0,0,0
53,estandar,tarjeta_credito,anual,15,0,3,4,redes_sociales,0.25,0.6325000000000001,9.99,0.624375,29.97,0,0,0,0
27,premium,tarjeta_credito,mensual,7,2,2,5,redes_sociales,0.625,0.3408333333333333,14.99,1.87375,29.98,0,0,1,1
35,estandar,efectivo,anual,24,3,2,4,redes_sociales,0.16,0.5275000000000001,9.99,0.3996,19.98,0,0,0,0
15,basico,tarjeta_debito,mensual,3,3,2,4,referido,1.0,0.1975,4.99,1.2475,9.98,0,0,0,1
48,premium,efectivo,anual,15,3,0,4,call_center,0.25,0.44,14.99,0.936875,0.0,0,0,0,0
57,premium,efectivo,mensual,22,3,3,2,call_center,0.08695652173913043,0.5558333333333333,14.99,0.6517391304347826,44.97,0,0,1,1
120,premium,tarjeta_credito,mensual,15,2,2,0,referido,0.0,0.6799999999999999,14.99,0.936875,29.98,0,0,1,0
4,estandar,efectivo,mensual,6,0,0,8,call_center,1.1428571428571428,0.39,9.99,1.4271428571428573,0.0,1,0,0,0
1,basico,tarjeta_credito,mensual,13,1,1,9,call_center,0.6428571428571429,0.41583333333333333,4.99,0.35642857142857143,4.99,0,1,0,1
55,estandar,efectivo,mensual,4,1,3,3,call_center,0.6,0.4308333333333333,9.99,1.998,29.97,0,0,0,0
26,basico,transferencia_bancaria,mensual,22,0,3,0,redes_sociales,0.0,0.6583333333333333,4.99,0.21695652173913044,14.97,0,0,0,0
9,basico,transferencia_bancaria,mensual,1,2,0,5,call_center,2.5,0.21583333333333332,4.99,2.495,0.0,0,0,0,0
8,premium,tarjeta_debito,mensual,15,0,2,3,call_center,0.1875,0.52,14.99,0.936875,29.98,0,0,1,0
33,estandar,tarjeta_credito,mensual,15,3,3,3,call_center,0.1875,0.4025,9.99,0.624375,29.97,0,0,0,0
3,premium,transferencia_bancaria,anual,13,1,1,8,referido,0.5714285714285714,0.42083333333333334,14.99,1.0707142857142857,14.99,0,1,0,0
58,basico,tarjeta_credito,anual,0,0,2,4,web,4.0,0.44499999999999995,4.99,4.99,9.98,0,0,0,1
49,basico,tarjeta_debito,mensual,12,2,2,2,web,0.15384615384615385,0.4625,4.99,0.38384615384615384,9.98,0,0,0,1
51,premium,tarjeta_credito,mensual,10,0,0,13,call_center,1.1818181818181819,0.5608333333333333,14.99,1.3627272727272728,0.0,0,0,1,0
48,premium,tarjeta_debito,mensual,8,0,0,5,redes_sociales,0.5555555555555556,0.5266666666666666,14.99,1.6655555555555557,0.0,0,0,1,0
1,basico,transferencia_bancaria,mensual,15,0,3,0,referido,0.0,0.5025,4.99,0.311875,14.97,0,1,0,0
9,basico,tarjeta_credito,anual,19,1,1,1,redes_sociales,0.05,0.5158333333333334,4.99,0.2495,4.99,0,0,0,0
18,estandar,tarjeta_debito,anual,21,0,2,0,web,0.0,0.625,9.99,0.4540909090909091,19.98,0,0,0,0
58,basico,tarjeta_debito,mensual,18,0,1,5,referido,0.2631578947368421,0.685,4.99,0.26263157894736844,4.99,0,0,0,0
13,basico,efectivo,mensual,9,3,0,1,referido,0.1,0.27249999999999996,4.99,0.499,0.0,0,0,0,0
24,estandar,tarjeta_debito,mensual,4,3,0,5,call_center,1.0,0.23333333333333334,9.99,1.998,0.0,0,0,0,0
13,estandar,transferencia_bancaria,mensual,12,0,0,1,web,0.07692307692307693,0.49250000000000005,9.99,0.7684615384615385,0.0,0,0,0,0
40,basico,tarjeta_debito,anual,6,1,1,1,call_center,0.14285714285714285,0.42,4.99,0.7128571428571429,4.99,0,0,0,0
24,estandar,tarjeta_debito,mensual,6,0,1,0,redes_sociales,0.0,0.44,9.99,1.4271428571428573,9.99,0,0,0,0
4,basico,tarjeta_debito,mensual,21,1,1,5,call_center,0.22727272727272727,0.53,4.99,0.22681818181818184,4.99,0,1,0,1
17,estandar,efectivo,anual,15,2,0,0,call_center,0.0,0.4225,9.99,0.624375,0.0,0,0,0,0
29,basico,tarjeta_credito,anual,15,2,2,1,referido,0.0625,0.4525,4.99,0.311875,9.98,0,0,0,0
33,estandar,efectivo,anual,9,1,1,5,redes_sociales,0.5,0.4425,9.99,0.999,9.99,0,0,0,0
36,estandar,tarjeta_debito,anual,26,0,1,1,redes_sociales,0.037037037037037035,0.7366666666666666,9.99,0.37,9.99,0,0,0,0
2,estandar,tarjeta_debito,mensual,18,2,1,1,call_center,0.05263157894736842,0.425,9.99,0.5257894736842106,9.99,0,1,0,0
12,basico,efectivo,mensual,15,0,1,7,web,0.4375,0.53,4.99,0.311875,4.99,0,0,0,1
60,estandar,transferencia_bancaria,anual,26,0,0,4,call_center,0.14814814814814814,0.7966666666666666,9.99,0.37,0.0,0,0,0,0
40,estandar,efectivo,anual,3,2,1,5,call_center,1.25,0.32,9.99,2.4975,9.99,0,0,0,0
54,basico,efectivo,mensual,1,0,2,9,redes_sociales,4.5,0.44833333333333336,4.99,2.495,9.98,1,0,0,0
49,estandar,efectivo,mensual,9,3,0,9,redes_sociales,0.9,0.3625,9.99,0.999,0.0,1,0,0,1
7,estandar,efectivo,mensual,14,2,3,9,redes_sociales,0.6,0.38416666666666666,9.99,0.666,29.97,0,0,0,0
51,premium,tarjeta_credito,mensual,23,1,2,1,call_center,0.041666666666666664,0.6741666666666667,14.99,0.6245833333333334,29.98,0,0,1,1
13,basico,tarjeta_debito,anual,15,3,2,5,call_center,0.3125,0.35250000000000004,4.99,0.311875,9.98,0,0,0,1
37,estandar,transferencia_bancaria,mensual,14,2,3,5,redes_sociales,0.3333333333333333,0.45916666666666667,9.99,0.666,29.97,0,0,0,0
41,estandar,tarjeta_debito,anual,7,0,0,6,redes_sociales,0.75,0.49583333333333335,9.99,1.24875,0.0,1,0,0,0
29,estandar,tarjeta_credito,mensual,15,1,3,7,call_center,0.4375,0.5125,9.99,0.624375,29.97,0,0,0,0
55,estandar,tarjeta_debito,mensual,2,1,1,2,call_center,0.6666666666666666,0.4041666666666667,9.99,3.33,9.99,0,0,0,1
3,premium,tarjeta_debito,anual,5,3,0,4,referido,0.6666666666666666,0.19416666666666665,14.99,2.4983333333333335,0.0,0,0,0,0
3,estandar,efectivo,mensual,15,0,2,10,call_center,0.625,0.5075000000000001,9.99,0.624375,19.98,0,1,0,0
39,estandar,tarjeta_credito,mensual,25,0,2,2,web,0.07692307692307693,0.7308333333333334,9.99,0.38423076923076926,19.98,0,0,0,0
28,basico,tarjeta_debito,anual,29,3,0,1,redes_sociales,0.03333333333333333,0.5766666666666667,4.99,0.16633333333333333,0.0,0,0,0,1
31,basico,transferencia_bancaria,mensual,10,0,2,10,web,0.9090909090909091,0.5108333333333333,4.99,0.45363636363636367,9.98,0,0,0,0
20,estandar,tarjeta_credito,mensual,22,2,0,4,call_center,0.17391304347826086,0.5233333333333333,9.99,0.43434782608695655,0.0,0,0,0,0
8,premium,efectivo,mensual,3,3,1,3,redes_sociales,0.75,0.18,14.99,3.7475,14.99,0,0,1,0
50,estandar,tarjeta_credito,mensual,11,1,3,1,call_center,0.08333333333333333,0.5116666666666667,9.99,0.8325,29.97,0,0,0,1
8,premium,efectivo,anual,29,3,2,5,call_center,0.16666666666666666,0.5266666666666667,14.99,0.49966666666666665,29.98,0,0,0,1
10,premium,tarjeta_debito,mensual,18,2,1,9,call_center,0.47368421052631576,0.445,14.99,0.7889473684210526,14.99,0,0,1,1
7,estandar,tarjeta_debito,mensual,25,3,3,8,call_center,0.3076923076923077,0.4708333333333334,9.99,0.38423076923076926,29.97,0,0,0,0
60,estandar,tarjeta_credito,mensual,23,1,3,8,web,0.3333333333333333,0.6966666666666667,9.99,0.41625,29.97,0,0,0,1
2,basico,tarjeta_debito,mensual,13,3,3,6,web,0.42857142857142855,0.29833333333333334,4.99,0.35642857142857143,14.97,0,1,0,0
20,estandar,transferencia_bancaria,anual,12,1,3,10,referido,0.7692307692307693,0.45,9.99,0.7684615384615385,29.97,0,0,0,1
9,premium,tarjeta_credito,mensual,9,0,1,10,referido,1.0,0.4425,14.99,1.499,14.99,1,0,1,0
53,estandar,tarjeta_credito,mensual,13,2,2,7,call_center,0.5,0.4858333333333333,9.99,0.7135714285714286,19.98,0,0,0,0
0,estandar,tarjeta_credito,mensual,25,0,0,7,redes_sociales,0.2692307692307692,0.6333333333333333,9.99,0.38423076923076926,0.0,0,0,0,0
36,basico,tarjeta_credito,mensual,4,1,0,6,referido,1.2,0.3833333333333333,4.99,0.998,0.0,1,0,0,0
18,premium,transferencia_bancaria,mensual,5,1,3,6,redes_sociales,1.0,0.3516666666666667,14.99,2.4983333333333335,44.97,1,0,1,0
43,premium,transferencia_bancaria,mensual,10,2,2,4,call_center,0.36363636363636365,0.42083333333333334,14.99,1.3627272727272728,29.98,0,0,1,0
24,estandar,tarjeta_debito,mensual,2,3,0,3,redes_sociales,1.0,0.20666666666666667,9.99,3.33,0.0,0,0,0,1
36,estandar,tarjeta_debito,mensual,14,1,0,5,redes_sociales,0.3333333333333333,0.5166666666666666,9.99,0.666,0.0,0,0,0,0
52,premium,transferencia_bancaria,mensual,20,3,0,7,call_center,0.3333333333333333,0.5166666666666666,14.99,0.7138095238095238,0.0,0,0,1,0
59,estandar,transferencia_bancaria,anual,7,2,2,10,redes_sociales,1.25,0.42083333333333334,9.99,1.24875,19.98,1,0,0,0
15,basico,efectivo,mensual,15,0,2,7,referido,0.4375,0.5375,4.99,0.311875,9.98,0,0,0,1
31,basico,efectivo,anual,29,0,2,0,redes_sociales,0.0,0.7641666666666667,4.99,0.16633333333333333,9.98,0,0,0,0
32,estandar,transferencia_bancaria,mensual,12,1,2,4,web,0.3076923076923077,0.48000000000000004,9.99,0.7684615384615385,19.98,0,0,0,1
16,premium,tarjeta_debito,mensual,17,3,3,4,call_center,0.2222222222222222,0.38666666666666666,14.99,0.8327777777777778,44.97,0,0,1,0
32,premium,efectivo,anual,0,3,0,3,redes_sociales,3.0,0.2,14.99,14.99,0.0,0,0,0,0
60,basico,efectivo,mensual,26,3,1,5,referido,0.18518518518518517,0.6166666666666667,4.99,0.18481481481481482,4.99,0,0,0,0
120,premium,efectivo,anual,1,0,1,9,web,4.5,0.6133333333333333,14.99,7.495,14.99,1,0,0,0
55,estandar,tarjeta_debito,mensual,22,1,3,10,call_center,0.43478260869565216,0.6708333333333333,9.99,0.43434782608695655,29.97,0,0,0,1
48,basico,tarjeta_credito,mensual,1,0,1,4,call_center,2.0,0.43333333333333335,4.99,2.495,4.99,0,0,0,0
58,premium,efectivo,anual,16,2,3,5,web,0.29411764705882354,0.5383333333333333,14.99,0.881764705882353,44.97,0,0,0,0
14,premium,tarjeta_debito,mensual,1,3,0,9,web,4.5,0.16833333333333333,14.99,7.495,0.0,1,0,1,0
59,estandar,transferencia_bancaria,mensual,8,1,3,7,web,0.7777777777777778,0.49416666666666664,9.99,1.11,29.97,1,0,0,0
57,estandar,tarjeta_debito,mensual,16,1,2,9,referido,0.5294117647058824,0.5958333333333333,9.99,0.5876470588235294,19.98,0,0,0,1
51,estandar,efectivo,anual,30,2,2,5,call_center,0.16129032258064516,0.7075,9.99,0.32225806451612904,19.98,0,0,0,0
11,premium,tarjeta_debito,mensual,24,3,2,0,redes_sociales,0.0,0.4675,14.99,0.5996,29.98,0,0,1,0
7,estandar,transferencia_bancaria,mensual,7,3,1,2,referido,0.25,0.23083333333333333,9.99,1.24875,9.99,0,0,0,1
17,estandar,transferencia_bancaria,anual,20,2,3,6,redes_sociales,0.2857142857142857,0.48916666666666664,9.99,0.4757142857142857,29.97,0,0,0,0
12,basico,tarjeta_credito,anual,15,3,0,5,referido,0.3125,0.35,4.99,0.311875,0.0,0,0,0,0
26,basico,tarjeta_debito,mensual,26,2,0,9,redes_sociales,0.3333333333333333,0.5916666666666667,4.99,0.18481481481481482,0.0,0,0,0,0
29,premium,tarjeta_credito,anual,7,1,1,3,referido,0.375,0.4058333333333333,14.99,1.87375,14.99,0,0,0,0
32,estandar,tarjeta_debito,mensual,28,0,0,5,call_center,0.1724137931034483,0.7533333333333334,9.99,0.34448275862068967,0.0,0,0,0,0
10,estandar,tarjeta_debito,anual,4,3,1,47,web,9.4,0.19833333333333333,9.99,1.998,9.99,1,0,0,0
16,estandar,efectivo,mensual,15,3,2,0,call_center,0.0,0.36,9.99,0.624375,19.98,0,0,0,0
45,premium,transferencia_bancaria,mensual,0,0,3,1,call_center,1.0,0.4125,14.99,14.99,44.97,0,0,1,0
14,estandar,tarjeta_credito,anual,10,0,2,1,referido,0.09090909090909091,0.4683333333333333,9.99,0.9081818181818182,19.98,0,0,0,0
